,latitude,longitude,speeds
787,52.53254,13.28796,3.0
788,52.53261,13.28821,3.0
789,52.53269,13.28855,3.0
790,52.53269,13.28855,3.0
791,52.53276,13.28887,3.0
792,52.53276,13.28887,3.0
793,52.53288,13.28948,3.0
794,52.53288,13.28948,3.0
795,52.53307,13.29041,3.0
796,52.53307,13.29041,3.0
797,52.5332,13.29084,3.0
798,52.5333,13.29113,3.0
799,52.5333,13.29113,3.0
800,52.53347,13.29147,3.0
801,52.53347,13.29147,3.0
802,52.53359,13.29165,3.0
803,52.53378,13.29187,3.0
804,52.53378,13.29187,3.0
805,52.534,13.2921,3.0
806,52.53425,13.29231,3.0
807,52.53438,13.29241,3.0
808,52.53458,13.29252,3.0
809,52.53465,13.29256,3.0
810,52.53471,13.2926,3.0
811,52.53475,13.29262,3.0
812,52.53475,13.29262,3.0
813,52.53504,13.29279,3.0
814,52.53533,13.29293,3.0
815,52.53533,13.29293,3.0
816,52.53548,13.293,3.0
817,52.53548,13.293,3.0
818,52.53555,13.29304,3.0
819,52.53574,13.29315,3.0
820,52.53574,13.29315,3.0
821,52.53578,13.29317,3.0
822,52.53618,13.2934,3.0
823,52.53618,13.2934,3.0
824,52.53649,13.29355,3.0
825,52.53649,13.29355,3.0
826,52.53665,13.29362,3.0
827,52.53665,13.29362,3.0
828,52.53714,13.29386,3.0
829,52.53748,13.29403,3.0
830,52.538,13.29432,3.0
831,52.53871,13.29472,3.0
832,52.53871,13.29472,3.0
833,52.53942,13.29512,3.0
834,52.53942,13.29512,3.0
835,52.53963,13.29522,3.0
836,52.54048,13.29568,3.0
837,52.54048,13.29568,3.0
838,52.54168,13.29633,3.0
839,52.54203,13.29653,3.0
840,52.54203,13.29653,3.0
841,52.54219,13.29663,3.0
842,52.54219,13.29663,3.0
843,52.54255,13.29681,3.0
844,52.54271,13.29689,3.0
845,52.54271,13.29689,3.0
846,52.54279,13.29694,3.0
847,52.54279,13.29694,3.0
848,52.54296,13.29703,3.0
849,52.54296,13.29703,3.0
850,52.54304,13.29708,3.0
851,52.54304,13.29708,3.0
852,52.54323,13.29718,3.0
853,52.54323,13.29718,3.0
854,52.54391,13.29755,3.0
855,52.54391,13.29755,3.0
856,52.54425,13.29775,3.0
857,52.54425,13.29775,3.0
858,52.54477,13.29809,3.0
859,52.54512,13.29835,3.0
860,52.54512,13.29835,3.0
861,52.54543,13.29859,3.0
862,52.54584,13.29889,3.0
863,52.54584,13.29889,3.0
864,52.54591,13.29895,3.0
865,52.54591,13.29895,3.0
866,52.54619,13.29917,3.0
867,52.54619,13.29917,3.0
868,52.5468,13.29968,3.0
869,52.5468,13.29968,3.0
870,52.54731,13.3001,3.0
